year_month,department_name,region_name,revenue,opex,capex,profit,headcount,profit_margin,revenue_variance,tickets_resolved,sla_breaches,cycle_time,utilization,backlog
2021-01,Customer Support,Asia Pacific,298140.13,224297.95,21348.15,52494.03,37.0,17.61,1.34,388,18,0.98,86.03,108.0
2021-01,Customer Support,Europe,353581.13,229089.59,24268.62,100222.92,39.0,28.35,-4.63,483,17,0.86,82.74,104.0
2021-01,Customer Support,Latin America,229332.99,162173.96,15339.92,51819.12,29.0,22.6,1.82,279,11,0.87,85.62,68.0
2021-01,Customer Support,North America,353600.91,214769.2,29527.82,109303.89,48.0,30.91,4.7,685,20,1.21,89.23,150.0
2021-01,Engineering,Asia Pacific,831397.99,534146.46,108837.89,188413.64,42.0,22.66,2.0,129,6,4.89,79.53,23.0
2021-01,Engineering,Europe,728637.07,563407.85,113716.13,51513.09,52.0,7.07,5.04,147,4,5.29,76.34,42.0
2021-01,Engineering,Latin America,575995.1,379146.37,90264.87,106583.86,32.0,18.5,2.12,94,4,6.14,93.6,15.0
2021-01,Engineering,North America,970060.93,766486.72,159012.04,44562.18,61.0,4.59,3.56,185,3,4.56,71.41,22.0
2021-01,Finance,Asia Pacific,173622.86,106846.81,4770.64,62005.41,12.0,35.71,-4.12,30,2,1.63,75.53,4.0
2021-01,Finance,Europe,198304.43,139153.02,6919.0,52232.41,14.0,26.34,0.9,39,1,1.84,87.65,7.0
2021-01,Finance,Latin America,152883.11,118376.18,5143.61,29363.31,9.0,19.21,-3.78,25,0,1.94,73.26,6.0
2021-01,Finance,North America,253718.6,173926.18,6166.64,73625.78,16.0,29.02,4.92,50,2,1.31,82.59,13.0
2021-01,HR,Asia Pacific,125584.77,83830.73,2956.68,38797.37,8.0,30.89,-0.19,22,0,2.81,87.8,2.0
2021-01,HR,Europe,172526.2,133215.43,2770.01,36540.75,10.0,21.18,0.83,27,0,2.31,87.01,3.0
2021-01,HR,Latin America,105739.55,83994.89,2505.98,19238.68,6.0,18.19,0.03,16,1,2.33,91.33,4.0
2021-01,HR,North America,206431.86,160855.47,3828.08,41748.31,11.0,20.22,2.8,38,1,3.1,80.32,7.0
2021-01,Marketing,Asia Pacific,548064.01,358581.73,62013.17,127469.11,17.0,23.26,2.24,44,1,2.48,74.95,4.0
2021-01,Marketing,Europe,648503.1,508669.52,54175.75,85657.83,18.0,13.21,4.76,57,2,3.03,80.26,8.0
2021-01,Marketing,Latin America,393494.27,299228.55,32652.95,61612.77,15.0,15.66,-2.65,36,1,3.86,74.84,6.0
2021-01,Marketing,North America,766593.89,488297.99,91058.62,187237.28,25.0,24.42,-4.21,72,1,2.85,87.45,18.0
2021-01,Operations,Asia Pacific,356565.4,237129.06,46717.59,72718.75,23.0,20.39,-3.73,164,3,3.31,81.43,34.0
2021-01,Operations,Europe,402166.68,250619.74,55269.35,96277.59,25.0,23.94,1.72,215,11,4.29,86.34,38.0
2021-01,Operations,Latin America,260448.21,193421.59,34513.99,32512.63,17.0,12.48,-2.64,129,3,4.85,75.25,23.0
2021-01,Operations,North America,429234.94,327545.87,55770.13,45918.94,31.0,10.7,-2.64,252,5,4.88,70.8,72.0
2021-01,Product,Asia Pacific,449971.16,280194.66,105282.22,64494.28,24.0,14.33,2.48,74,1,7.44,77.87,9.0
2021-01,Product,Europe,547864.71,347824.67,117941.59,82098.46,24.0,14.99,-4.18,91,6,6.39,86.73,24.0
2021-01,Product,Latin America,402473.75,286175.0,81449.44,34849.31,16.0,8.66,4.24,59,3,4.89,76.87,6.0
2021-01,Product,North America,543206.5,390119.28,116357.63,36729.59,27.0,6.76,-0.12,141,5,7.65,71.58,31.0
