date,date_key,department_id,region_id,tickets_resolved,sla_breaches,cycle_time,utilization,backlog,year,quarter,month,month_name,year_month,department_name,region_name,sla_breach_rate,tickets_per_headcount
2021-01-01,20210101,1,1,185,3,4.56,71.41,22,2021,Q1,1,January,2021-01,Engineering,North America,1.62,6.17
2021-01-01,20210101,1,2,147,4,5.29,76.34,42,2021,Q1,1,January,2021-01,Engineering,Europe,2.72,4.9
2021-01-01,20210101,1,3,129,6,4.89,79.53,23,2021,Q1,1,January,2021-01,Engineering,Asia Pacific,4.65,4.3
2021-01-01,20210101,1,4,94,4,6.14,93.6,15,2021,Q1,1,January,2021-01,Engineering,Latin America,4.26,3.13
2021-01-01,20210101,2,1,105,2,1.8,80.34,14,2021,Q1,1,January,2021-01,Sales,North America,1.9,3.5
2021-01-01,20210101,2,2,86,2,2.06,85.14,20,2021,Q1,1,January,2021-01,Sales,Europe,2.33,2.87
2021-01-01,20210101,2,3,62,4,2.17,80.99,7,2021,Q1,1,January,2021-01,Sales,Asia Pacific,6.45,2.07
2021-01-01,20210101,2,4,47,3,2.21,90.8,9,2021,Q1,1,January,2021-01,Sales,Latin America,6.38,1.57
2021-01-01,20210101,3,1,72,1,2.85,87.45,18,2021,Q1,1,January,2021-01,Marketing,North America,1.39,2.4
2021-01-01,20210101,3,2,57,2,3.03,80.26,8,2021,Q1,1,January,2021-01,Marketing,Europe,3.51,1.9
2021-01-01,20210101,3,3,44,1,2.48,74.95,4,2021,Q1,1,January,2021-01,Marketing,Asia Pacific,2.27,1.47
2021-01-01,20210101,3,4,36,1,3.86,74.84,6,2021,Q1,1,January,2021-01,Marketing,Latin America,2.78,1.2
2021-01-01,20210101,4,1,252,5,4.88,70.8,72,2021,Q1,1,January,2021-01,Operations,North America,1.98,8.4
2021-01-01,20210101,4,2,215,11,4.29,86.34,38,2021,Q1,1,January,2021-01,Operations,Europe,5.12,7.17
2021-01-01,20210101,4,3,164,3,3.31,81.43,34,2021,Q1,1,January,2021-01,Operations,Asia Pacific,1.83,5.47
2021-01-01,20210101,4,4,129,3,4.85,75.25,23,2021,Q1,1,January,2021-01,Operations,Latin America,2.33,4.3
2021-01-01,20210101,5,1,50,2,1.31,82.59,13,2021,Q1,1,January,2021-01,Finance,North America,4.0,1.67
2021-01-01,20210101,5,2,39,1,1.84,87.65,7,2021,Q1,1,January,2021-01,Finance,Europe,2.56,1.3
2021-01-01,20210101,5,3,30,2,1.63,75.53,4,2021,Q1,1,January,2021-01,Finance,Asia Pacific,6.67,1.0
2021-01-01,20210101,5,4,25,0,1.94,73.26,6,2021,Q1,1,January,2021-01,Finance,Latin America,0.0,0.83
2021-01-01,20210101,6,1,38,1,3.1,80.32,7,2021,Q1,1,January,2021-01,HR,North America,2.63,1.27
2021-01-01,20210101,6,2,27,0,2.31,87.01,3,2021,Q1,1,January,2021-01,HR,Europe,0.0,0.9
2021-01-01,20210101,6,3,22,0,2.81,87.8,2,2021,Q1,1,January,2021-01,HR,Asia Pacific,0.0,0.73
2021-01-01,20210101,6,4,16,1,2.33,91.33,4,2021,Q1,1,January,2021-01,HR,Latin America,6.25,0.53
2021-01-01,20210101,7,1,685,20,1.21,89.23,150,2021,Q1,1,January,2021-01,Customer Support,North America,2.92,22.83
2021-01-01,20210101,7,2,483,17,0.86,82.74,104,2021,Q1,1,January,2021-01,Customer Support,Europe,3.52,16.1
2021-01-01,20210101,7,3,388,18,0.98,86.03,108,2021,Q1,1,January,2021-01,Customer Support,Asia Pacific,4.64,12.93
2021-01-01,20210101,7,4,279,11,0.87,85.62,68,2021,Q1,1,January,2021-01,Customer Support,Latin America,3.94,9.3
2021-01-01,20210101,8,1,141,5,7.65,71.58,31,2021,Q1,1,January,2021-01,Product,North America,3.55,4.7
2021-01-01,20210101,8,2,91,6,6.39,86.73,24,2021,Q1,1,January,2021-01,Product,Europe,6.59,3.03
2021-01-01,20210101,8,3,74,1,7.44,77.87,9,2021,Q1,1,January,2021-01,Product,Asia Pacific,1.35,2.47
2021-01-01,20210101,8,4,59,3,4.89,76.87,6,2021,Q1,1,January,2021-01,Product,Latin America,5.08,1.97
2021-02-01,20210201,1,1,192,14,6.46,85.93,28,2021,Q1,2,February,2021-02,Engineering,North America,7.29,6.4
2021-02-01,20210201,1,2,162,8,4.38,93.04,66,2021,Q1,2,February,2021-02,Engineering,Europe,4.94,5.4
2021-02-01,20210201,1,3,126,7,4.5,75.28,40,2021,Q1,2,February,2021-02,Engineering,Asia Pacific,5.56,4.2
2021-02-01,20210201,1,4,85,3,5.96,89.6,22,2021,Q1,2,February,2021-02,Engineering,Latin America,3.53,2.83
2021-02-01,20210201,2,1,110,7,2.25,75.71,20,2021,Q1,2,February,2021-02,Sales,North America,6.36,3.67
2021-02-01,20210201,2,2,77,2,1.87,75.24,27,2021,Q1,2,February,2021-02,Sales,Europe,2.6,2.57
2021-02-01,20210201,2,3,69,1,2.32,87.18,8,2021,Q1,2,February,2021-02,Sales,Asia Pacific,1.45,2.3
2021-02-01,20210201,2,4,52,2,1.96,88.91,11,2021,Q1,2,February,2021-02,Sales,Latin America,3.85,1.73
2021-02-01,20210201,3,1,81,1,3.66,81.2,28,2021,Q1,2,February,2021-02,Marketing,North America,1.23,2.7
2021-02-01,20210201,3,2,56,3,3.56,81.83,14,2021,Q1,2,February,2021-02,Marketing,Europe,5.36,1.87
2021-02-01,20210201,3,3,47,3,3.15,91.05,11,2021,Q1,2,February,2021-02,Marketing,Asia Pacific,6.38,1.57
2021-02-01,20210201,3,4,35,1,3.01,90.66,7,2021,Q1,2,February,2021-02,Marketing,Latin America,2.86,1.17
2021-02-01,20210201,4,1,262,17,3.91,86.06,84,2021,Q1,2,February,2021-02,Operations,North America,6.49,8.73
2021-02-01,20210201,4,2,185,12,3.4,76.78,69,2021,Q1,2,February,2021-02,Operations,Europe,6.49,6.17
2021-02-01,20210201,4,3,155,12,5.16,76.71,35,2021,Q1,2,February,2021-02,Operations,Asia Pacific,7.74,5.17
2021-02-01,20210201,4,4,125,5,3.4,87.69,23,2021,Q1,2,February,2021-02,Operations,Latin America,4.0,4.17
2021-02-01,20210201,5,1,56,1,1.3,74.39,23,2021,Q1,2,February,2021-02,Finance,North America,1.79,1.87
2021-02-01,20210201,5,2,41,2,1.5,78.41,8,2021,Q1,2,February,2021-02,Finance,Europe,4.88,1.37
2021-02-01,20210201,5,3,32,1,1.67,76.43,10,2021,Q1,2,February,2021-02,Finance,Asia Pacific,3.12,1.07
2021-02-01,20210201,5,4,22,1,1.21,82.03,7,2021,Q1,2,February,2021-02,Finance,Latin America,4.55,0.73
2021-02-01,20210201,6,1,38,2,2.54,80.37,12,2021,Q1,2,February,2021-02,HR,North America,5.26,1.27
2021-02-01,20210201,6,2,31,2,2.31,85.24,6,2021,Q1,2,February,2021-02,HR,Europe,6.45,1.03
2021-02-01,20210201,6,3,23,1,2.39,73.55,2,2021,Q1,2,February,2021-02,HR,Asia Pacific,4.35,0.77
2021-02-01,20210201,6,4,16,0,2.83,93.77,6,2021,Q1,2,February,2021-02,HR,Latin America,0.0,0.53
2021-02-01,20210201,7,1,594,43,1.23,81.08,219,2021,Q1,2,February,2021-02,Customer Support,North America,7.24,19.8
2021-02-01,20210201,7,2,550,28,1.25,72.08,125,2021,Q1,2,February,2021-02,Customer Support,Europe,5.09,18.33
2021-02-01,20210201,7,3,397,21,1.21,94.71,138,2021,Q1,2,February,2021-02,Customer Support,Asia Pacific,5.29,13.23
2021-02-01,20210201,7,4,274,18,1.1,74.96,95,2021,Q1,2,February,2021-02,Customer Support,Latin America,6.57,9.13
2021-02-01,20210201,8,1,136,9,6.3,77.63,57,2021,Q1,2,February,2021-02,Product,North America,6.62,4.53
2021-02-01,20210201,8,2,103,4,5.64,88.28,28,2021,Q1,2,February,2021-02,Product,Europe,3.88,3.43
2021-02-01,20210201,8,3,75,3,5.67,85.72,10,2021,Q1,2,February,2021-02,Product,Asia Pacific,4.0,2.5
2021-02-01,20210201,8,4,62,2,4.8,73.17,17,2021,Q1,2,February,2021-02,Product,Latin America,3.23,2.07
2021-03-01,20210301,1,1,211,7,5.95,85.21,68,2021,Q1,3,March,2021-03,Engineering,North America,3.32,7.03
2021-03-01,20210301,1,2,147,8,4.16,79.91,94,2021,Q1,3,March,2021-03,Engineering,Europe,5.44,4.9
2021-03-01,20210301,1,3,122,4,4.3,87.59,55,2021,Q1,3,March,2021-03,Engineering,Asia Pacific,3.28,4.07
2021-03-01,20210301,1,4,88,6,4.06,77.59,38,2021,Q1,3,March,2021-03,Engineering,Latin America,6.82,2.93
2021-03-01,20210301,2,1,101,3,2.13,90.6,22,2021,Q1,3,March,2021-03,Sales,North America,2.97,3.37
2021-03-01,20210301,2,2,87,5,1.78,87.8,33,2021,Q1,3,March,2021-03,Sales,Europe,5.75,2.9
